Date,Clicks,Impressions,CTR,Position
2024-09-29,30,1816,1.65%,22.4
2024-09-30,28,1965,1.42%,22.3
2024-10-01,35,2056,1.7%,22.4
2024-10-02,9,2018,0.45%,23.4
2024-10-03,46,1936,2.38%,21.5
2024-10-04,39,1991,1.96%,21.4
2024-10-05,27,1954,1.38%,20.7
2024-10-06,46,1981,2.32%,21
2024-10-07,42,2193,1.92%,22
2024-10-08,37,2044,1.81%,21.6
2024-10-09,35,2103,1.66%,22.2
2024-10-10,26,2125,1.22%,22.6
2024-10-11,27,2000,1.35%,23.9
2024-10-12,25,2040,1.23%,24.2
2024-10-13,26,2088,1.25%,24.4
2024-10-14,35,2012,1.74%,22.6
2024-10-15,24,1916,1.25%,23
2024-10-16,40,1916,2.09%,23.3
2024-10-17,31,1938,1.6%,23.5
2024-10-18,35,1869,1.87%,23.8
2024-10-19,26,1754,1.48%,23.1
2024-10-20,35,1841,1.9%,24.4
2024-10-21,28,1957,1.43%,23.4
2024-10-22,30,2018,1.49%,23.2
2024-10-23,20,1720,1.16%,23.4
2024-10-24,21,1694,1.24%,21.4
2024-10-25,25,1735,1.44%,23.7
2024-10-26,27,1698,1.59%,23.8
2024-10-27,23,1632,1.41%,21.9
2024-10-28,21,1664,1.26%,22
2024-10-29,26,1856,1.4%,23.7
2024-10-30,29,1659,1.75%,21.6
2024-10-31,26,1557,1.67%,22.3
2024-11-01,34,1691,2.01%,23
2024-11-02,32,1720,1.86%,23
2024-11-03,37,1824,2.03%,22.8
2024-11-04,43,1897,2.27%,23.3
2024-11-05,27,1657,1.63%,21.4
2024-11-06,20,1654,1.21%,22.4
2024-11-07,33,1654,2%,22.9
2024-11-08,30,1704,1.76%,23.6
2024-11-09,21,1650,1.27%,23.7
2024-11-10,27,1730,1.56%,23.4
2024-11-11,27,1866,1.45%,23.5
2024-11-12,25,1776,1.41%,23.8
2024-11-13,22,1846,1.19%,22.5
2024-11-14,22,1899,1.16%,24.3
2024-11-15,33,1768,1.87%,24.8
2024-11-16,24,3692,0.65%,14.5
2024-11-17,41,3384,1.21%,16.2
2024-11-18,13,2815,0.46%,19.7
2024-11-19,16,2281,0.7%,22.9
2024-11-20,26,2170,1.2%,24.7
2024-11-21,24,2243,1.07%,24.5
2024-11-22,15,2014,0.74%,26.7
2024-11-23,19,1705,1.11%,25.6
2024-11-24,18,1887,0.95%,25.8
2024-11-25,24,1957,1.23%,27.4
2024-11-26,14,1770,0.79%,27.8
2024-11-27,17,1727,0.98%,26.3
2024-11-28,18,1605,1.12%,26.8
2024-11-29,26,1796,1.45%,25.1
2024-11-30,17,1764,0.96%,26.3
2024-12-01,22,1692,1.3%,26.8
2024-12-02,25,1802,1.39%,27.4
2024-12-03,14,1790,0.78%,27.3
2024-12-04,18,1719,1.05%,27.9
2024-12-05,22,1734,1.27%,28.3
